Close,return,P/E,β,empty_Close,empty_return,empty_P/E,empty_β
50.18,-0.0177939,-0.000354601,0.048393862,0.0,0.0,0.0,0.0
49.30,-0.0598769,-0.001214664,0.050606709,0.0,0.0,0.0,0.0
46.43,0.0157063,0.000338279,0.049258549,0.0,0.0,0.0,0.0
47.17,0.011908,0.000252476,0.048534613,0.0,0.0,0.0,0.0
47.73,-0.0044095,-9.23833E-05,0.048071148,0.0,0.0,0.0,0.0
47.52,-0.005698,-0.000119908,0.0433197,0.0,0.0,0.0,0.0
47.25,-0.0317692,-0.000672364,0.042671611,0.0,0.0,0.0,0.0
45.77,0.0189895,0.000414866,0.041796654,0.0,0.0,0.0,0.0
46.65,-0.020684,-0.000443388,0.043701124,0.0,0.0,0.0,0.0
45.70,-0.0172171,-0.000376782,0.043300255,0.0,0.0,0.0,0.0
44.92,-0.003848,-8.56725E-05,0.043562697,0.0,0.0,0.0,0.0
44.74,-0.0041433,-9.26042E-05,0.042751168,0.0,0.0,0.0,0.0
44.56,-0.0047805,-0.000107289,0.042297041,0.0,0.0,0.0,0.0
44.35,0.0051732,0.000116658,0.039522405,0.0,0.0,0.0,0.0
44.58,-0.0182816,-0.000410132,0.038931503,0.0,0.0,0.0,0.0
43.77,-0.0101617,-0.000232174,0.040789453,0.0,0.0,0.0,0.0
43.33,0.0359307,0.000829328,0.041707171,0.0,0.0,0.0,0.0
44.91,0.0160145,0.00035659,0.041654781,0.0,0.0,0.0,0.0
45.64,0.014575,0.000319382,0.041864739,0.0,0.0,0.0,0.0
46.31,0.0262689,0.000567302,0.041505564,0.0,0.0,0.0,0.0
47.54,0.0126984,0.000267124,0.038845815,0.0,0.0,0.0,0.0
48.15,0.0115131,0.000239133,0.038770171,0.0,0.0,0.0,0.0
48.70,-0.0031877,-6.54517E-05,0.03862519,0.0,0.0,0.0,0.0
48.55,-0.000206,-4.24337E-06,0.038216197,0.0,0.0,0.0,0.0
48.54,-0.0072889,-0.000150171,0.037632508,0.0,0.0,0.0,0.0
48.19,0.0059489,0.000123459,0.03687424,0.0,0.0,0.0,0.0
48.47,0.0232462,0.000479575,0.036749632,0.0,0.0,0.0,0.0
49.61,-0.0029269,-5.89958E-05,0.037049178,0.0,0.0,0.0,0.0
49.47,0.0080035,0.000161792,0.03707224,0.0,0.0,0.0,0.0
49.87,-0.003415,-6.84855E-05,0.036838286,0.0,0.0,0.0,0.0
49.70,-0.0010066,-2.02564E-05,0.036543336,0.0,0.0,0.0,0.0
49.65,-0.0152737,-0.000307658,0.033967415,0.0,0.0,0.0,0.0
48.89,0.0213985,0.000437664,0.033823221,0.0,0.0,0.0,0.0
49.95,-0.0003003,-6.01292E-06,0.03530991,0.0,0.0,0.0,0.0
49.94,-0.0091536,-0.000183311,0.038974068,0.0,0.0,0.0,0.0
